name_ani,counts_num,random_num,arm
UNKNOWN,1425,1425,5
RUBY,531,531,11
LILY,527,527,3
PRINCESS,527,527,3
COOKIE,526,526,27
STELLA,521,521,15
GIZMO,348,348,2
