,b,c,l,u,w,x
0,5809.1144999962125,6192.993499993463,6285.789499997918,8113.425499996083,7068.486000009216,7576.8335000029765
1,9360.094499998013,4066.799500000343,5183.015500000693,6144.574499996452,8758.947999993325,9263.265000006868
2,6891.262999994069,2404.575999998997,11123.1839999964,7456.470000006448,6677.139000003081,6899.0355000041745
