,b,c,l,u,w,x
0,7790.6425000012405,2723.297000000457,4082.9269999990174,6890.947499999811,3405.128499999819,7302.4670000004335
1,5886.363000000754,2106.021999999939,4086.9635000003655,3570.552999999336,6806.221000001415,6120.35949999972
2,4199.940499999002,1989.0200000002096,3889.2790000004425,4575.148499999614,4284.661999998889,9618.305000000191
